Timestamp,Agency,Account,How satisfied were you with the Deliverables you received this quarter?,How satisfied were you with the quality of the work delivered?,How satisfied were you with the frequency and clarity of updates from your Account Manager?,How satisfied were you with the timeliness of delivery against agreed timelines?,How easy was it to get your requests actioned or issues resolved this quarter?,"How satisfied were you with how proactively the team brought ideas, flagged risks, or spotted opportunities?","Add any critical feedback you have for us, and let us know how we can improve the service for you.",Headline CSAT (used in dashboard) = Q1,Is DSAT (Q1 <= 3)?
2026-04-12,The Starter Labs,WhiteOak,4,2,5,4,3,5,,4,no
2026-04-12,The Starter Labs,WhiteOak,5,4,5,3,5,5,,5,no
2026-04-12,The Starter Labs,WhiteOak,4,4,4,3,5,4,,4,no
2026-04-12,The Starter Labs,WhiteOak,5,3,5,5,4,5,Strong quarter overall — responsive team and dependable delivery. Keep it up.,5,no
2026-04-12,The Starter Labs,WhiteOak,3,2,5,1,3,5,Some deliverables slipped past the agreed timelines this quarter.,3,yes
2026-05-12,The Starter Labs,WhiteOak,3,3,3,2,4,3,Some deliverables slipped past the agreed timelines this quarter.,3,yes
2026-05-12,The Starter Labs,WhiteOak,5,3,5,5,4,5,,5,no
2026-05-12,The Starter Labs,WhiteOak,4,3,5,2,4,5,,4,no
2026-05-12,The Starter Labs,WhiteOak,5,5,5,4,5,5,Strong quarter overall — responsive team and dependable delivery. Keep it up.,5,no
2026-05-12,The Starter Labs,WhiteOak,4,2,5,4,3,5,,4,no
2026-05-12,The Starter Labs,WhiteOak,5,4,5,3,5,5,,5,no
2026-05-12,The Starter Labs,WhiteOak,4,4,4,3,5,4,,4,no
2026-06-12,The Starter Labs,WhiteOak,5,4,5,3,5,5,Strong quarter overall — responsive team and dependable delivery. Keep it up.,5,no
2026-06-12,The Starter Labs,WhiteOak,3,3,3,2,4,3,Some deliverables slipped past the agreed timelines this quarter.,3,yes
2026-06-12,The Starter Labs,WhiteOak,5,3,5,5,4,5,,5,no
2026-06-12,The Starter Labs,WhiteOak,4,3,5,2,4,5,,4,no
2026-06-12,The Starter Labs,WhiteOak,5,5,5,4,5,5,Strong quarter overall — responsive team and dependable delivery. Keep it up.,5,no
2026-06-12,The Starter Labs,WhiteOak,4,2,5,4,3,5,,4,no
2026-07-12,The Starter Labs,WhiteOak,4,2,5,4,3,5,,4,no
2026-07-12,The Starter Labs,WhiteOak,5,4,5,3,5,5,Strong quarter overall — responsive team and dependable delivery. Keep it up.,5,no
2026-07-12,The Starter Labs,WhiteOak,3,3,3,2,4,3,Some deliverables slipped past the agreed timelines this quarter.,3,yes
2026-07-12,The Starter Labs,WhiteOak,5,3,5,5,4,5,,5,no
2026-07-12,The Starter Labs,WhiteOak,4,3,5,2,4,5,,4,no
2026-07-12,The Starter Labs,WhiteOak,5,5,5,4,5,5,Strong quarter overall — responsive team and dependable delivery. Keep it up.,5,no
2026-07-12,The Starter Labs,WhiteOak,4,2,5,4,3,5,,4,no
2026-07-12,The Starter Labs,WhiteOak,5,4,5,3,5,5,,5,no
2026-07-12,The Starter Labs,WhiteOak,4,4,4,3,5,4,,4,no
2026-02-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
2026-02-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-02-12,The Starter Labs,BuildWell,4,4,4,3,5,4,,4,no
2026-02-12,The Starter Labs,BuildWell,1,1,2,1,1,2,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-02-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-02-12,The Starter Labs,BuildWell,3,3,3,2,4,3,Some deliverables slipped past the agreed timelines this quarter.,3,yes
2026-02-12,The Starter Labs,BuildWell,1,1,2,1,1,2,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-03-12,The Starter Labs,BuildWell,1,1,1,1,2,1,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-03-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
2026-03-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-03-12,The Starter Labs,BuildWell,4,4,4,3,5,4,,4,no
2026-03-12,The Starter Labs,BuildWell,1,1,2,1,1,2,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-03-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-04-12,The Starter Labs,BuildWell,1,1,3,1,1,3,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-04-12,The Starter Labs,BuildWell,1,1,1,1,2,1,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-04-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
2026-04-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-04-12,The Starter Labs,BuildWell,4,4,4,3,5,4,,4,no
2026-04-12,The Starter Labs,BuildWell,1,1,2,1,1,2,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-04-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-04-12,The Starter Labs,BuildWell,3,3,3,2,4,3,Some deliverables slipped past the agreed timelines this quarter.,3,yes
2026-04-12,The Starter Labs,BuildWell,1,1,2,1,1,2,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-05-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
2026-05-12,The Starter Labs,BuildWell,1,1,3,1,1,3,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-05-12,The Starter Labs,BuildWell,1,1,1,1,2,1,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-05-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
2026-05-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-05-12,The Starter Labs,BuildWell,4,4,4,3,5,4,,4,no
2026-05-12,The Starter Labs,BuildWell,1,1,2,1,1,2,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-05-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-06-12,The Starter Labs,BuildWell,2,2,2,1,3,2,Some deliverables slipped past the agreed timelines this quarter.,2,yes
2026-06-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
2026-06-12,The Starter Labs,BuildWell,1,1,3,1,1,3,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-06-12,The Starter Labs,BuildWell,1,1,1,1,2,1,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-06-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
2026-06-12,The Starter Labs,BuildWell,2,1,4,1,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,2,yes
2026-06-12,The Starter Labs,BuildWell,4,4,4,3,5,4,,4,no
2026-07-12,The Starter Labs,BuildWell,1,1,3,1,1,3,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-07-12,The Starter Labs,BuildWell,2,2,2,1,3,2,Some deliverables slipped past the agreed timelines this quarter.,2,yes
2026-07-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
2026-07-12,The Starter Labs,BuildWell,1,1,3,1,1,3,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-07-12,The Starter Labs,BuildWell,1,1,1,1,2,1,Strong quarter overall — responsive team and dependable delivery. Keep it up.,1,yes
2026-07-12,The Starter Labs,BuildWell,3,1,4,3,2,4,A few deliverables needed rework before we could use them; quality was inconsistent.,3,yes
